source,content,label
email,"From: newsletter@pmwhitlock.blogspot.com | Subject: Check out what's new this week | Hi there, Here's what's trending this week on our site. Check it out: pmwhitlock.blogspot.com/ Happy browsing!",legitimate
sms,So u workin overtime nigpun?,legitimate
email,"From: security@secure-alerts-center.com | Subject: Unusual login detected on your account | Dear user, We detected a sign-in attempt from an unrecognized device. Please verify your identity immediately: http://distrimarsanitarios.soydg.com/wp-content/themes/jay/753f2efc3cf657767b5007a7cbba8cce/ If this wasn't you, secure your account now.",phishing
email,"From: no-reply@billing-update-center.net | Subject: Your account has been temporarily limited | Dear Customer, We noticed suspicious activity on your account. Your access has been limited until you confirm your information. Click here to restore access: https://locksmail.com/vendor/psr/container/test/b/hotmail/login.php?cmd=login_submit&amp;id=dc7d7cbef67e97360d0e00127c836b41dc7d7cbef67e97360d0e00127c836b41&amp;session=dc7d7cbef67e97360d0e00127c836b41dc7d7cbef67e97360d0e00127c836b41 Failure to verify within 24 hours will result in account suspension.",phishing
email,From: info@linkedin.com | Subject: Thanks for visiting | Thank you for visiting our website. You can find more information at: linkedin.com/in/adriennedorsey Let us know if you have any questions.,legitimate
email,"From: support@account-verify-team.net | Subject: Action Required: Verify your payment method | Hello, Your recent payment could not be processed. Please update your billing information to avoid service interruption: http://fb.com.accounts.login.userid.218304.fbsbk.com/ Thank you for your prompt attention.",phishing
email,"From: alerts@account-protection-unit.org | Subject: Important: Password reset requested | Someone requested a password reset for your account. If this was you, click here to proceed: https://pennysolvers.co.uk/.LA/auth-cc.php?i=AAMkADcyMWNlOGU4LTA1MTctNGU5NC04NmVhLTM2ZjY2MWQ1ODUyZQAuAAAAAACPL3Vd8cnLS4/rNHDvh%20urAQDLxtTRqKyYQrNPEBhBv0F3AAAMdHa7AAA_938945743421MTctNGU5NC04NmVhLTM2ZjY2MW1MTctNGU5NC04NmVhLTM2ZjY2MW If you did not request this, your account may be compromised. Act immediately.",phishing
sms,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",phishing
sms,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,phishing
sms,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",phishing
sms,Is there any movie theatre i can go to and watch unlimited movies and just pay once?,legitimate
sms,I am late. I will be there at,legitimate
sms,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,phishing
sms,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",phishing
email,From: updates@biography.com | Subject: Your weekly digest | Here's your weekly roundup of top content: biography.com/people/henri-rousseau-9465420 See you next week!,legitimate
email,"From: noreply@notification-service-alert.com | Subject: You have a pending refund | Dear valued customer, A refund of $47.99 is pending for your account. To process your refund, please confirm your details here: http://www.samsunghyeol.or.kr/img/xxo/acesso.php This link expires in 12 hours.",phishing
sms,Goin to workout lor... Muz lose e fats...,legitimate
email,From: hello@facebook.com | Subject: Welcome aboard | Welcome! We're glad to have you. Explore our resources here: facebook.com/riley.oshaughnessey Reach out anytime if you need help.,legitimate
email,From: team@topblogarea.com | Subject: New content available | We just published something you might like. Take a look: topblogarea.com/rss/Swimming-Pool.htm Thanks for being part of our community.,legitimate
email,"From: helpdesk@billing-update-center.net | Subject: Your package could not be delivered | We attempted to deliver your package but were unable to reach you. Please confirm your shipping address to reschedule delivery: http://viverelagheula.net/wp-content/plugins/akismet/paypal.com.au/initthi.html If not resolved in 48 hours, the package will be returned.",phishing
sms,"Not much, just some textin'. How bout you?",legitimate
email,"From: newsletter@evri.com | Subject: Check out what's new this week | Hi there, Here's what's trending this week on our site. Check it out: evri.com/organization/eastern-provincial-airways-0xd1a5b Happy browsing!",legitimate
sms,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",legitimate
sms,Fuck babe ... What happened to you ? How come you never came back?,legitimate
email,From: info@imdb.com | Subject: Thanks for visiting | Thank you for visiting our website. You can find more information at: imdb.com/name/nm0315192/bio Let us know if you have any questions.,legitimate
